name,team,goals,shots,otrate,on_target,crate,in_area,out_area,in_area_prop,team_next,goals_next,shots_next,otrate_next,on_target_next,crate_next,in_area_next,out_area_next,in_area_prop_next
Son,Hamburg,12,78,53,41.34,0.153846154,44,34,0.564102564,Leverkusen,10,83,60,49.8,0.120481928,41,42,0.493975904
Sau,Cagliari,12,43,81,34.83,0.279069767,32,10,0.744186047,Cagliari,6,37,68,25.16,0.162162162,26,11,0.702702703
Mame Biram Diouf,Hannover,12,60,57,34.2,0.2,51,9,0.85,Hannover,8,64,47,30.08,0.125,59,5,0.921875
Totti,Roma,12,124,58,71.92,0.096774194,32,92,0.258064516,Roma,8,67,41,27.47,0.119402985,22,45,0.328358209
Aguero,Manchester City,12,86,55,47.3,0.139534884,68,18,0.790697674,Manchester City,17,86,60,51.6,0.197674419,71,15,0.825581395
Fletcher,Sunderland,11,55,65,35.75,0.2,44,11,0.8,Sunderland,3,32,36,11.52,0.09375,26,6,0.8125
Kruse,Freiburg,11,80,44,35.2,0.1375,41,39,0.5125,Monchengladbach,12,77,57,43.89,0.155844156,46,31,0.597402597
Giroud,Arsenal,11,107,43,46.01,0.102803738,85,22,0.794392523,Arsenal,16,112,43,48.16,0.142857143,90,22,0.803571429
Gouffran,Newcastle,11,82,62,50.84,0.134146341,49,33,0.597560976,Newcastle,6,52,51,26.52,0.115384615,33,19,0.634615385
Muriel,Udinese,11,41,55,22.55,0.268292683,25,16,0.609756098,Udinese,4,44,52,22.88,0.090909091,22,22,0.5
Benzema,Real Madrid,11,64,64,40.96,0.171875,47,17,0.734375,Real Madrid,17,102,51,52.02,0.166666667,82,20,0.803921569
Brandao,St Etienne,11,60,44,26.4,0.183333333,56,4,0.933333333,St Etienne,5,51,36,18.36,0.098039216,43,8,0.843137255
Bianchi,Torino,11,83,48,39.84,0.13253012,58,25,0.698795181,Torino,3,43,49,21.07,0.069767442,29,14,0.674418605
Podolski,Arsenal,11,54,61,32.94,0.203703704,31,23,0.574074074,Arsenal,8,41,61,25.01,0.195121951,30,11,0.731707317
Tevez,Manchester City,11,105,53,55.65,0.104761905,57,48,0.542857143,Juventus,19,126,59,74.34,0.150793651,77,49,0.611111111
Thereau,Chievo,11,90,50,45,0.122222222,52,38,0.577777778,Chievo,7,57,50,28.5,0.122807018,41,16,0.719298246
Sturridge,Liverpool,11,70,53,37.1,0.157142857,47,23,0.671428571,Liverpool,21,99,49,48.51,0.212121212,64,35,0.646464646
Petersen,Werder,11,84,44,36.96,0.130952381,77,7,0.916666667,Werder,7,52,45,23.4,0.134615385,48,4,0.923076923
